drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_0207,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_1256,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0374,CVCL_0375,CVCL_0031,CVCL_0062,CVCL_0623,CVCL_0418,CVCL_0419,CVCL_1408,CVCL_1418,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_0465,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0532,CVCL_0098,CVCL_1711,CVCL_0553,CVCL_0006
DOXORUBICIN,0.10966458689329327,,0.1231342287035715,0.5325537433426183,0.6773672189218549,0.4839183456091383,0.554195877750312,0.7937473594937141,0.150357039590828,0.31831454314063445,0.017134923880397876,0.4403169563639201,0.3651813180241929,0.24192034615136526,0.07274799435340738,,,0.209396734440781,,0.18722288869365358,0.5074146647036697,0.7174255256725149,0.141222884942489,0.12191680396457606,0.1111645304305424,0.47472953556501596,0.0020169847514651404,0.2815699470273068,0.2871505511649594,0.6984333848570634,0.24289289180321944,0.4997866500252981,0.40618044395656105,0.32548223780633706,0.321870962641357,0.40479538049265795,0.34116680700064883,0.49609466308942557,0.10437294800933954,0.179534929918707,0.25726716846285386,0.5296103657123012,0.35505890106287147,,0.49486863437907797,0.22678399433710855,0.11190769723299174
GEFITINIB,0.12075001292141736,0.009232544710272045,0.029745475602892944,,0.08933189552461068,0.03273079623275814,0.03611493176023049,0.10255197963123829,0.0203733719775963,0.0014287781148981233,0.0774567618135417,,0.009015527459383934,0.10812550365184681,0.01573495176791998,0.09172522908468986,0.1230959588255294,0.029380623333164296,0.101467178911901,,,0.1427167841015775,0.050500299241045064,0.0074049599697985895,0.012750183965663795,0.10097205877081918,,0.059452135369395864,0.15908007714804198,0.11320022836706341,0.15956174864720046,0.0165169853425732,0.006738436448362662,0.008570023939928045,,0.12159891989258262,0.00122577153746332,0.02786165102058591,,0.09793714312336105,0.09228451793986665,,0.16758258751591987,,0.025616513124850894,,0.008332519582089743
IMATINIB,0.031553714404359424,,,0.0455119630532901,,,0.01792628113008887,0.0146665879732618,0.007480765136812071,0.3932037509228478,,0.11340468801917514,,,,,,0.2594843963436483,0.028196761977630953,,0.06839967954732055,,,,,,0.029730532112391843,0.020181334081148288,0.07312798931731812,0.0007248970021175272,0.03178580212221287,0.01743275953097873,0.017900263723390514,,,0.05927515656978267,,,,,0.02386544587941658,,,0.03894610398717071,,,
LAPATINIB,0.33029062218325517,,,,,,0.003460807282193262,0.017800948140107267,,0.0139928018923351,,0.06659757998230957,,,,,,0.07159447480314052,0.1270700042874094,,0.05498109650257382,,,,,,0.02673714335700397,0.014236118678850216,0.06986526027799757,0.009369665063142154,0.0012379096318700699,,0.0013920114312065666,,,0.06727855281118654,,,,,0.021293758170229802,,,0.03554864460094351,0.02774679830668717,,0.06606136961736005
METHOTREXATE,0.021716435154887772,,0.02082525374802775,,0.09796760505339604,0.06121181462275633,0.6079858007904244,0.16572168312854524,0.17462696440178072,,0.08436918228326853,,0.07060729694546347,0.03592849583469272,0.021214447662684526,0.11187891816829093,0.01139931358368701,0.048546394003626495,0.1808109518639374,,0.10818878022864535,0.03248074550017068,0.043332241770256005,0.027353372181069036,0.012754063421710161,0.009933702702906116,,0.24391449017568717,0.6108453253783028,0.5696345491907525,0.1962607481183382,0.283035305698596,0.102173307368078,0.00252200448432368,,0.052418437809825316,0.0011782915306373567,0.0549707202733967,,0.026213849423272192,0.39512281389435605,,0.006586412152452525,,0.5672671811152911,0.01323380717481889,0.1936490078726182
NAVITOCLAX,0.0334452072529261,0.002602770882305319,0.16027721197099698,,0.020352229944208253,0.0472276702974634,0.6146248530261956,0.2114690810903258,0.07658696058036178,0.4433362974328501,0.029021717081415543,,0.16849664009082727,0.18670876078598234,0.048806194510957183,0.018007060392974915,0.11042060623983302,0.01437561706125036,,0.40436702218032106,0.0002464717780079436,0.0443560067462697,0.05877853509229179,0.1094254922245667,0.0796015641069032,0.11508101463555052,0.07773520471832464,0.4464620393580235,0.1517444906220045,0.7891420300723774,0.4456103678850947,0.686218272378929,0.31719737508147183,0.24077192426834204,0.16120840945654386,0.11153119538481299,0.1463686915748994,0.10331932487558904,0.030458606077493653,,0.50892638195996,,0.05894780250392792,0.5008934589270836,0.366936091609572,0.03247171697662861,0.19748649159347212
NILOTINIB,,0.0042257480538951606,0.043797599710206414,,0.0401316561530109,0.13444835966345808,0.0643024130301586,0.09189539882006605,0.04860958729731054,0.08310591460616412,0.01982110259317606,,0.12820134453594634,0.024826939905344902,,0.038848458297821506,,0.5912949940801754,0.473554779707629,,,0.018514262314425302,0.046074133727641055,,0.008502419543889568,0.008836095804168302,0.06531952834291689,0.0300736118813825,0.07192964205023626,0.07002082192748325,0.11559795190193108,0.0170994602222582,0.017579453067693807,0.133665946903026,,0.007237842418843202,,0.0929919543418517,,,0.14976600970821213,,0.0006499693227311098,,0.023303360818529344,0.02075805164553263,0.0005594894193469953
OLAPARIB,0.004882470323406224,0.04141993429236927,0.07572814429631256,,0.04108026442945535,0.029947979208954794,0.06712361103744131,0.034594197772554645,0.018337157501107714,0.000370005928514016,0.014433786288247801,,0.09276801002020862,0.003797584329397374,0.012902545891735204,0.03973562809164115,0.02087465906962631,0.022237331061786603,0.011398954718343138,,0.021930651850263282,0.034262103325983465,0.030443809418543393,0.026865936312940146,0.0276465303735238,0.00751067872893768,0.008922469486026933,0.03685192353660511,0.0222565651601791,0.22356137383771735,0.140142290389222,0.057856325487290985,0.03621016502492394,0.023723240944390024,,0.03889285161102399,0.003554691521925728,0.09487227752753583,,0.0161490636733099,0.1338400638722466,,,,0.08692676220574415,0.03439952198246378,
PACLITAXEL,0.139654871874859,,,0.28045718199266956,,,0.5185499928156402,0.25716178361197833,0.134688394346169,0.40813859038374295,,0.2474575766743563,,,,,,0.32136211148783955,0.035043458928024435,0.004048599564241049,0.3962686696731306,,,,,,0.053305352216173975,0.37720833061123815,0.4158469229869624,0.5976763233467631,0.35309002056074046,0.453498676651103,0.45981119197132925,,,0.39548366415758346,,,,,0.46189887911086785,0.5557668454121514,,0.0008166324218382043,0.45363861522379717,,0.06980340146853334
PAZOPANIB,0.06600888052569731,,0.09094521808512351,0.03698134978141483,0.06013021818464079,0.13237657031033775,0.037177248718515625,0.00641685468324515,0.0461458843716787,0.611171377596772,0.06868169341598448,0.0538379247862349,0.0186609964949932,0.08487069597607556,0.12466039631708697,,,0.06856576630480571,,0.32881013291321737,0.2431077189444945,0.08856674563665301,0.11259973948394099,0.049507306833977825,0.1007675359431327,0.13437370687963734,0.0819320055977119,0.04149611471723328,0.1465161236787177,0.32333229148375997,0.04111328223414699,0.09411959290041012,0.05012272378188471,0.129150796010547,0.14413503375134404,0.17641803166787157,0.0684842431985696,0.1453311387908595,0.0635127095275424,0.15947151306514723,0.03803958995468335,0.005031871979828496,0.18471601786086184,,0.11459888751869285,0.08531087591136835,0.06843012510196061
PICTILISIB,0.16155738101926143,0.06645226666410158,0.10405484704948949,,0.18172165602872054,0.13406104867083282,0.236495008000062,0.1079157596968804,0.11317553772533549,0.22272891053151092,0.18323818109003323,,0.1806046380487136,0.21241714282439533,0.2549798416221696,0.21414709413382524,0.31573873698802557,0.10357885778990923,,0.06819744039732308,0.08081268981884461,0.2763439506522047,0.10714606283822824,0.1739717171074755,0.10710611136152595,0.0842742805979679,0.11092484819059831,0.25724496347263415,0.40691222574545255,0.3565998787071242,0.3616717758258421,0.004300870960069771,0.29816651089078805,0.19193121275567984,0.22291895504116502,0.18219184749171174,0.27171410909009336,0.25467242048321165,0.07381681351096776,,0.27692322954586907,,0.2857945921905382,0.5000380170312925,0.252131887352488,0.38835649404044104,0.20742165688422068
SARACATINIB,0.04588155733403799,,,0.07517083257120792,,,0.0249298538573798,0.04084554075240527,0.02780092969497048,0.3399184708574502,,0.13061959613132798,,,,,,0.18754069766966328,0.0563196057220234,,0.2618537230630385,,,,,,0.02537708582622906,0.041019458024965094,0.09553987853991353,0.030393601194898482,,0.012986200008097352,,,,0.06357330446705091,,,,,0.013421238137340771,,,0.18912101963121267,0.03239796678189548,,0.08390162953109767
SELUMETINIB,0.03750057674750466,0.006528877218486361,0.10447564762251564,,0.05309492207929194,0.15593165874126055,0.09914744630073814,0.04008295138506071,0.3250517386840407,,0.0039006751568491332,,0.045605936612698184,0.2424266241735105,0.026103745089849143,0.15826016621278868,0.06251588381622056,0.019341933597178392,,0.02012245231762087,0.14059092104631418,0.06735968336678742,0.1817843470809068,,0.0069939536937622445,0.0993391218179989,0.015412112940620332,0.030803845807482997,0.045704718997113244,0.09527581233366673,0.20163750028311353,0.13012177496131092,0.023468277863273677,0.0965681374472698,0.16793828785413475,0.1975697123531551,0.07051317048646864,0.1292486532129881,0.1546903781311302,,0.04882903575782111,,0.06545033091671752,0.205797163175497,0.11800163474973599,0.04992920298799374,
SERDEMETAN,0.08568014471658414,0.1841141733430634,0.13647037570182982,,0.0709692824822369,0.10535300591236735,0.276011501713996,0.11089915768061205,0.06790252574202107,0.02077917520864603,0.11796435685164373,,0.109075686489279,0.025873591343865653,0.12250860335332932,0.2141511332994801,0.058392444542128774,0.0944870891540761,0.07916198053571467,0.025219875074942263,0.3028008609392176,0.0910752061528827,0.2017353186434947,0.12722983198321344,,0.11555392786084841,0.09733466748042836,0.046851167690533255,0.14171991611200463,0.3593274093135804,0.1275469794248342,0.05981762556590988,0.023863942444269735,0.0553484463923918,0.1447867858690079,0.167213018334271,0.20663086038780604,0.17024091410564687,0.0780412605420598,,0.07810226727985954,,0.061633892477562714,0.34979100015972,0.284131450005564,0.0915610600236773,0.01571673396844441
SORAFENIB,0.020054878524766805,,,0.029903973167293933,,,0.02707124532223987,0.07344873814109508,0.05009448427100939,0.5279071156134056,,0.08026287738778021,,,,,,0.04738199103950571,0.02053752361277204,0.1575720332247523,0.05767257848676543,,,,,,0.02685401384407526,0.08440753138620488,0.565740620202743,0.6775054903304563,0.07129983137301107,0.2293073368511524,0.22940291767045748,,,0.1924414692191029,,,,,0.07554895222884087,0.1317468562438522,,0.05226550468851049,0.040783434118327015,,0.06789866872089041
SUNITINIB,,,,,,,0.10735252753286383,0.1451326864507265,0.07013989870354684,0.6384636297060584,,0.11406323221161661,,,,,,0.0814355708920477,0.0494917902075668,0.156831168736539,0.2476639860339087,,,,,,0.01179863881108198,0.20631967993521896,0.7767165856962142,0.8389468264588598,0.18434384552848979,0.2409259970868199,0.4291923886662714,,,0.15886272044953148,,,,,0.10293516486282699,0.24950647468156215,,0.007719818001404367,0.17513579636265575,,
TEMSIROLIMUS,0.16274008066836526,0.37647801114598894,0.12971974405281259,,0.27072637629655527,0.0629294022480965,0.579290678892376,0.3097799175025638,0.11476899143826988,0.0068258807644300135,0.1514892082868041,,0.3190815172687515,0.017609537600555957,0.4440366888659142,0.19590650314001085,0.29728338330687926,0.2609713724092335,0.15318769046634972,,0.259374019671898,0.132081406640097,0.20660346189426082,0.33527558272404806,0.07369492761294469,0.17875680323488458,0.22625452071193305,0.12983223733050223,0.22888955729002133,0.31298917685397903,0.37978908593773403,0.04355968152096918,0.0691021111651485,0.4341677350638852,,0.27516382952783336,0.27039690550653683,0.32281460648041993,,0.11377473806807903,0.5009623297596109,,0.3673217233846797,,0.4911914084730468,0.3016867072294236,0.0497145215065573
TIPIFARNIB,0.1550107042025211,,0.2371218331018032,0.3416067725280567,0.40448847353098316,0.28731607253225894,0.4580616719830264,0.38634319999649896,0.004881822913324932,0.5649731672533909,0.1497305815360944,0.22275614360848975,0.21894112188624465,0.23132734186308912,0.1420137103796646,,,0.21120041865566289,,0.33853580753019114,0.45974809062709177,0.5888668320703032,0.205013332894957,0.354352856543803,0.09319173746302647,0.2883673535471613,0.08748537185856439,0.5663724645458534,0.2781153208022126,0.5368866560743384,0.2223355051549688,0.3762442335770664,0.27106731581336374,0.19237556776743694,0.20831911251819402,0.38122501162923267,0.09722369705031962,0.33793222233021575,0.18054387315054357,0.11970330107038452,0.20693401668356454,0.6255288787910293,0.3992949421131469,,0.44514577024998925,0.2191178435409801,0.10397021711818125
VORINOSTAT,0.18832716301963395,0.277740000268802,0.13864215901726087,,0.1785121350709936,0.12384775153445801,0.4619247315202795,0.37315362591347184,0.2676832884384417,0.27303331169774686,0.16983733657186542,,0.14280425366245075,0.07064115896167358,0.14055783522830462,0.19512783863410801,0.15569138367647198,0.2749280200582828,0.5619932119633064,,0.1557779532552379,0.1677185358537776,0.141637049926183,0.17184378611611006,0.20018700635623268,0.16640601375020753,0.163478017956924,0.19254137794016893,0.41072720878098357,0.5487106137507775,0.45172803996670857,0.2759255959854527,0.3870066654828585,0.27505106494514675,,0.23408696915162733,0.4024147351608411,0.2595323126727134,,0.22577050864748102,0.4188530479215194,,0.128327067045457,,0.41564439702299716,0.17830514404651393,0.302210262079746
