drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0031,CVCL_0062,CVCL_0418,CVCL_0419,CVCL_1425,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0033,CVCL_0532,CVCL_0098,CVCL_0553,CVCL_0006,CVCL_0588
ERLOTINIB,0.12621181883016433,0.01319369262555813,0.10441203432328582,0.19057047137523897,0.07729748404309755,0.1982342515398673,0.10984935573790201,0.049067190522255846,0.1359117013792846,0.10699389877530902,0.15069159314230418,0.18266384427997037,0.010951344052335707,0.3828934192839518,0.05920442220402321,0.011251598059228998,0.0138642714247976,0.02134219999999945,,0.10628019287059581,0.130238802575572,0.09164711412919813,0.05308828285056022,0.18925976951680235,0.054392052143821465,0.07795625049119093,,0.013469407309198813,0.06392472180818806,0.11249863798892508,0.0904355111263182,0.00623669785064648,0.1547485122344589,0.018260469775896994,0.0228729427457833,0.1634318470735562,0.0894711236808881,0.025529001306637017,0.10301078861753099,0.00623471047118947,0.1778101517648003
GEFITINIB,0.19429115490083565,0.0717879129488689,0.26229794498837433,0.12474954122550996,0.0064735189514675195,0.21480584236627975,,0.087352954823812,0.015193692230411126,0.24109061083657438,0.014689127794509411,0.14259239027776383,0.11070947491960988,0.34995672435307273,0.017962470631287898,0.013436830382950371,0.026940078595859188,0.182751167759573,0.11384756829831219,0.16035333713894395,0.18871853874585276,0.17916491482176472,0.0547228604987469,0.1977903676781408,0.012490247987235433,0.019060331232397833,,0.011900092016091731,0.07102776117426443,0.10275596461043694,0.10281025498485918,0.013381782820921383,0.150363747977927,0.008391416018183129,0.01005122779099722,0.27460784898103413,0.09731215271239596,0.00305194531287762,0.06210625420684158,0.06876826186655381,0.18054477305174224
IMATINIB,,0.052287099303819605,0.09109375,0.10615038150131834,,0.09260402496952568,,0.01288083083876842,0.24601616059188872,0.14630163445263317,0.12961238400000002,,0.023081094017015434,0.07112671342005034,,0.36590323418646264,0.3331752956347542,,0.0833665999999996,0.018107233837058007,,0.04989911104009935,0.010197156454019229,0.00720280145331957,0.004931017491907128,,0.006253339843248462,0.007833429592831792,0.002621554377803022,0.011471362229023632,0.007282749154137327,0.004989318347942743,,0.00802359658632134,,0.007775123883447486,0.0262269999999994,0.0008931352853395053,0.03446630578991655,,0.0057499999999992
LAPATINIB,0.3430589845546562,0.13665237976744032,0.11205313603687773,0.13610530578822838,0.0035703128774927204,0.2140691406126322,,0.09681887599999953,0.07318075427408727,0.20516613729770158,0.0892741438281411,0.14820787416623002,0.11631861515862012,0.27716961461398276,0.012139038014387048,0.0578881010759572,0.2681180025439365,0.19178298685727732,0.17712451565344736,0.3384605414016081,0.19017108749037698,0.13483928607751672,0.0328200099090872,,,,,0.043659000000000246,0.02444234349660547,0.03781898883879875,0.0044666006603889885,,0.09166669978463578,,,0.401794834024858,0.100593569769145,,0.16834811685184964,0.009127319489396076,0.15625998332314162
METHOTREXATE,,0.16606090157319092,0.46392370603968935,0.12723982015365456,0.26458093932666826,0.25323791676617585,,0.22776940362926423,0.2942297244931114,0.23501686462522,0.1824214121195906,0.07299374362061399,0.06728702475774712,0.4470030382764478,,0.6240198445205877,0.2540056345354009,0.21439980732838138,0.0755330000000006,0.0822059977858325,0.2751465306940943,0.4154139252170098,0.5269253754656685,0.4760008153808844,0.4874597774053568,0.006331963548374236,,,0.3726841729519381,0.3628257925443687,0.31754287466878994,0.0005321404890375161,0.001351764834327457,0.402331119117758,0.5319082471199854,0.30090909484714234,0.102480513346908,0.616115709218907,0.19002460708691352,0.5915408808265435,0.08282166623809478
NAVITOCLAX,0.05446859197145707,0.1396440201821111,0.3537736788129948,0.1319127151299993,0.03967864500766538,0.13724785061087738,0.27393363848823016,0.07801734626208691,0.3986364661500254,0.255213046239395,0.12579225750986497,0.22128484730370993,0.11246919992957946,0.1608134,0.012016592778387104,0.005529107088620552,0.4171035701551955,0.15528953858152128,0.25620335916811776,0.16409370521605698,0.1406827902220839,0.20519093781457431,0.10362363433247804,0.5024684400102271,0.12435159590167728,0.3810388634214947,0.2339960245311713,0.16485148994247634,0.07052797231489345,0.05224336540552122,0.006540322926060469,0.08147717422789061,0.1614474757422594,0.16624112201972077,0.19081547698539886,0.21904991590185177,0.04744764005706908,0.229188063459963,0.09369094414017444,0.08337419868268493,0.0499402152842818
NILOTINIB,0.027183256551422636,0.0999930483420521,0.21065629441349135,0.12100204959563919,,0.135244717224303,,0.1565876094663522,0.27978223946440056,0.0465305692875467,0.14151931709152957,0.07212739774697595,0.0632439999999994,0.1324948703814548,,0.4814687989770741,0.4581266254213449,0.06552968226941308,0.20720589380944654,0.0638963999999997,,0.028616500000001602,,0.06688674978314962,0.010589475029444035,0.1324987002485334,0.04859401709854543,0.0524469982684399,0.001627803536969788,0.019192977806954607,0.03552125463325323,,,0.012497910447358148,0.1325271758688108,0.08470455540565602,0.055023944194491456,0.0063625515617172605,0.1097949832000506,0.15727660517950653,0.04773871080000055
OLAPARIB,,0.09683913226921839,0.16379178697060093,0.17975267070363093,0.0945062413572752,0.1469944774335587,0.11571417839547973,0.11761791565787158,0.16866198262625923,0.13617714266584502,0.26820895072251505,0.0016126299097195362,0.00755079965083292,0.12844735677006763,0.05293246557864003,0.01036409312781172,0.015594183484356535,0.13288891631404162,0.1426399011305635,0.06968351811128151,0.0706999644855084,0.047420204506745736,0.01022488442786648,0.22736050804985003,0.03790859416569513,0.1927907461574473,0.22137747373464706,0.008005885684020478,0.031249757648825992,0.03295784038078389,0.09002734718684106,0.03761199729055233,0.0006675895909696462,0.010900840835988766,0.10806193025871846,0.10982839939093292,,0.07752516350623329,0.07594238920412574,0.12075279166320299,0.12069531937777599
PACLITAXEL,0.377503425512567,0.45665856725948284,0.4260756526676163,0.4007867764818892,0.3527989869916865,0.30804810944290206,0.4212431453687122,0.374180218955653,0.3768948501782561,0.34639017986002785,0.39917667829803954,0.45704059772886313,0.473402595131146,0.36713631862476254,0.2216880582876368,0.544577478259833,0.4470792717402371,0.2735592396671798,0.44058542942151857,0.32940119565654497,0.33888066049409665,0.5521807701457048,0.3946204314235494,0.5340552740210025,0.5146726091146052,0.6358292703083654,0.5637889490000836,0.22131187996968288,0.20197662172662367,0.19615171581471486,0.3931290621855773,0.20497366523167676,0.10815557618487384,0.562676287224521,0.6236776072965368,0.4030260633539721,0.248348045134782,0.5865944453318787,0.38827033867843397,0.5748037139686042,0.2275538247626112
PANOBINOSTAT,0.3409162409774862,0.2648280165198675,0.4727905672094659,0.4483510356559085,0.305359752514585,0.29033127675241155,0.34619130922583824,0.37970022887649624,0.5112022203056851,0.37098400128632225,0.38690190975125266,0.3502055822389566,0.36960006373903903,0.3957984035545809,0.274496417113758,0.399722752669789,0.57413782368762,0.4144008413508394,0.34451856889433397,0.5257678794664092,0.292067628753791,0.46695292883655326,0.39750794006455087,0.511633713897065,0.5608985398474378,0.5456366723281451,0.4809000315408241,0.3999680949061697,0.2414222900858115,0.3471860232327749,0.35975577325537933,0.2116438674089433,0.2017394363000605,0.45222032426044034,0.5539140573582287,0.4348388192467149,0.27376398013429104,0.48369017952055937,0.38851671959373296,0.493418453791714,0.3125816431920827
PICTILISIB,0.23840896135810458,0.1927768830944496,0.306797236313139,0.247497969958695,0.23767880644750794,0.23502813470778958,0.113151387184438,0.0225341085212663,0.445073912186229,0.344151964567959,0.1896549675194479,0.30815830581269493,0.211082952664052,0.44600421645322386,0.13285231836548578,0.02770895551287779,0.29122287857361207,0.3737748157774446,0.1737367203885471,0.404089435804817,0.18742478086137054,0.27244496492936726,0.2202351109227191,0.34674935082498104,0.33712689879691926,0.2969299456489014,0.329728071502044,0.1197510300377766,0.170575940789301,0.15757485597004633,0.17432581350570592,0.19643151524171132,0.1530211015756809,0.19641831256058018,0.2152431775901151,0.40088637203524896,0.18213439842089008,0.2863379492679897,0.25187600460531523,0.29842413327670925,0.312587320318785
SELUMETINIB,,0.0015200580820985232,0.2265927716814696,0.0937300730214427,0.04431782350920492,0.18296900988086115,0.3964753355457167,0.1868842512415732,0.17558649511206548,0.2451741023021164,0.17919901191704607,0.17412918848483824,0.16732245423934058,0.34536508244834846,0.14334641251539348,0.1003841342885268,0.23088055161131468,0.41492743408122895,0.31604244869868026,0.008500640580973563,0.055805226348299014,0.09953091132901874,0.03207081229381848,0.261219432745645,0.269318555612859,0.5970166459692993,0.2701675368425397,0.29007162443186413,0.09485250113186475,0.22772370740207634,0.14959489950528393,,0.21381687180154083,0.019429396311626292,0.38735793934913476,0.06579879450061399,0.07708000561079952,0.40415945474413,0.07161472120000029,0.4495479019195856,0.2512844936219322
SERDEMETAN,0.0023904520471583336,0.14692891534782132,0.1988037241793628,0.1694505241904131,0.020285041792804243,0.1613081465778769,0.0867504382332403,0.02178838152456856,0.19732159569004312,0.21369482729471612,0.08511652579009939,0.07082575298055514,0.11876605200580459,0.014346346473410493,0.014372744199517,0.017764725296936533,0.21271588589570165,0.04554188084881991,0.17320647639045614,0.13013387528966475,0.0134731276579375,0.147543300754766,0.1068027278813047,0.27297787770757853,0.019909152292553373,0.241765899172644,0.24464748803629577,0.01503273748864305,0.007825603988842947,0.039359973797359116,0.009584757744225125,0.00561517616768664,0.0025678915504169023,0.011311554856600264,0.1691760001334733,0.013929575100140456,0.030816376800000298,0.2240775662266266,0.050671603733377604,0.1376693931883782,0.018426599999999002
SORAFENIB,,0.0486498884412566,0.0014255144193723137,0.001238888692591269,0.008093095156007613,0.0559018262568432,0.07498060207855758,0.11002613000417154,0.23545355400173315,0.0012243357645103533,0.006514240444391288,,,,,0.0013673149581284161,0.36395510762117633,,0.051233829021570275,0.06848466981721955,,0.4150749682606914,0.3115742505634509,0.5689752427263397,0.007388243107096599,,,0.020272412651503167,,,,,0.0010830278397152497,0.004019285763235237,0.0029874318681965342,,0.0141125993852501,,,0.011356543321012451,
SUNITINIB,,0.10420998776506159,0.16864723229456072,0.03211282895131353,,0.05148395291170881,0.0037947711168907763,0.03588256527541794,0.23394615752081208,0.19790792029717064,0.0962060267848614,,,0.012286198262483434,0.1794389492072289,,,0.21251832217719369,0.10516702370586441,0.09632319091236866,,0.3624998469756474,0.30009552969424325,0.5060276110207971,0.05702491425352108,0.022299749316056515,0.0023748314984154873,0.03383402000000041,,0.0008732450504652029,0.011790724385492383,,,0.06043137180798909,0.022330613453451737,0.09791613077930383,0.02337521229465532,0.05735102866215647,0.09153727224850117,,0.0343801295473726
TANESPIMYCIN,0.2978055673231745,0.4008373448904544,0.32719391798640884,0.43406634932227617,0.31547976772234054,0.336630325602763,0.32469083088726514,0.20932464477866883,0.23624165853041604,0.3513643350644899,0.40258797408689295,0.26172300229698775,0.35750315077095485,0.3636956523669873,0.353059983602115,0.3451496429072999,0.26994624942468515,0.34020044620593204,0.20313807365100173,0.5243150808686322,0.10923063288461128,0.2822290688971565,0.2469953449891547,0.47393839435126894,0.23716506846981497,0.43524748798456103,0.34471275543694707,0.5353443883546954,0.226805128177857,0.28367037563939634,0.3994713872271288,0.1891558373089891,0.07023584914606505,0.2119490407798425,0.2830154132651064,0.48482590327711866,0.1993836692979992,0.42068876408422917,0.19125283446943397,0.34047856039724567,0.408022487046659
TEMSIROLIMUS,0.2485086070249647,0.34069992435658897,0.3306633550272825,0.4586228116300413,0.4209686977221594,0.37967870485389793,0.2924376261875678,0.1385651557370036,0.20994297681590102,0.2606918499433537,0.29923889940000004,0.13956157197687757,0.34185392469025916,0.5105746825318458,0.13950014424876933,0.16864422142133656,0.3312660666696727,0.3915370987125102,0.2333967885690151,0.5966241815087172,0.24047625231142256,0.3182716506320869,0.15290935122972799,0.25066129718877833,0.2296892940120742,,0.10539498819459214,0.23359822705648342,0.15599684148801693,0.1605976234216239,0.13339769152321512,0.2243505794022435,0.07657972233824022,0.19674001113871162,0.2042785100706722,0.30281613096387106,0.14843219661993556,0.104899308449244,0.27436271754585084,0.2860426156870721,0.3208680529810973
TOPOTECAN,0.00992503325850255,0.10961828254062247,0.27035665393435315,0.30272120002280567,0.20913552401242932,0.13241202032422883,0.260332736988327,0.37471700320762047,0.5050950574762467,0.23491142893317044,0.295907717619759,0.007811266595460836,0.01687200219994543,0.14973217527424698,0.13718110322366464,0.27438529376260085,0.3978577613696618,0.2067802430473819,0.17152255350446724,0.1392199122021454,0.25852848664704603,0.3683660925535887,0.32892991636782604,0.45199622785459,0.4634383753744824,0.543067470677791,0.4321788248904419,0.22714521248136635,0.014327437400096477,0.09098572138157589,0.22424510325467906,0.19805228399964678,0.011726720891874232,0.257134442130301,0.4659090041893621,0.34310227600044707,0.16106820718170878,0.42544985295924603,0.2594192603281944,0.3858620922513132,0.2138328656005871
VANDETANIB,0.12436923931550992,0.12352346514870279,0.08625471867936617,0.1220752893198232,0.13940251374346907,0.22214623762191243,,0.12638769479585468,0.04894665754346263,0.0172945364442145,0.0139899932026902,0.48503351075869,0.16038779940254072,0.3445640231686312,0.0008252497805185059,0.2006837376247591,0.28623817838874543,0.251835095194724,0.14680640273508494,0.13766647484695824,0.1523064579081972,0.005874553137759101,0.18524000000000002,0.140969661867784,0.007138645095590743,0.177741991012775,0.10748768833378419,0.043842059999999634,0.1424056892949882,0.17046063966773822,0.02830529195744173,0.0017698502360032245,0.00751268981640055,,,0.13150408172200664,0.09821772681215127,0.015906,0.14606822031750127,0.09110413631729111,0.275987335928781
VORINOSTAT,0.14334039477648772,0.12525668631568282,0.26410502467261343,0.17711015773866462,0.016963258285669983,0.17291780494712822,0.020622763829360662,0.19168972330934397,0.22599351676782267,0.14846292394884406,0.1505799581853413,0.12354032681259831,0.13435938546358198,0.2438628841885082,0.12437447898825811,0.13717133559864858,0.28069973064536463,0.30222984942682374,0.17122654755263972,0.2537537632941916,0.12323750449073871,0.19849167382496566,0.1894203966694644,0.243901656373364,0.22480863259768383,0.20609955795127366,0.2203186697698525,0.1600717853147832,0.059260016780599,0.18331920170352642,0.1853175993212943,0.08926350743954556,0.12674238278130412,0.16932627342933526,0.0970101051785495,0.3082710433770531,0.112772217447851,0.17086798221718416,0.15004752507691,0.24526139247618367,0.17105827583796432
