drugid,CVCL_0179,CVCL_1092,CVCL_1104,CVCL_1106,CVCL_1110,CVCL_1114,CVCL_1183,CVCL_3509,CVCL_1230,CVCL_1245,CVCL_0290,CVCL_2067,CVCL_0332,CVCL_1304,CVCL_4647,CVCL_0004,CVCL_0589,CVCL_0031,CVCL_0062,CVCL_0418,CVCL_0419,CVCL_1425,CVCL_1426,CVCL_0064,CVCL_1609,CVCL_1619,CVCL_1620,CVCL_3768,CVCL_1627,CVCL_1628,CVCL_1629,CVCL_0035,CVCL_1662,CVCL_0014,CVCL_1694,CVCL_0033,CVCL_0532,CVCL_0098,CVCL_0553,CVCL_0006,CVCL_0588
ERLOTINIB,0.14573154751404,0.00108252066637071,0.0329605695775278,0.0509244474897583,0.114742191114101,0.31096133912935703,,0.10109185153860001,0.0723444220368207,0.125499029370549,0.0839274505492414,0.21777902179453498,0.0608632490230866,0.326082011932247,0.0608200168987484,0.0867207319048866,0.0886984235043619,0.0156352511880831,0.0447100953205914,0.134169733379764,0.151925451653646,0.18829751502550304,0.0646689900694429,0.26152306597208896,,0.0489021745120344,0.112909967693729,0.0692466666666812,0.0372931657170198,0.198581570825168,0.0960371056627424,0.0155114468740805,0.22657200446348,0.0889630085116211,0.10068897748300999,0.20424450125225,0.11937123054930301,0.140434501450107,0.0704543563591216,0.0252257512628509,0.142387908985584
GEFITINIB,0.318324293021071,0.0,,0.0961441595573309,0.0945798014599231,0.428907131387553,0.191906217738075,0.065612375130416,0.103488399265949,0.175369411110045,0.130664101437906,0.187418240151128,,0.315012711007908,0.0561678993426987,0.13786423611251902,,0.07698680443316,0.137407880313416,0.185934574059502,0.29191445679011496,0.22289322431883604,0.27651248915929,0.25919791534063297,,0.138932854804037,0.053276317876529006,0.0493020423809282,0.0773094459253719,0.21749345627378303,0.12373087099752199,0.0342077718004251,0.340821275304467,0.204246602767418,0.0535262296103842,0.3348557477942,0.113465963685789,0.215322711399121,0.206953939933816,0.15318752746482903,0.0944000000000117
IMATINIB,0.0446583026969219,0.0357175456806061,0.0161984396430817,0.0245728115087025,0.00646504243934731,0.0384971708955606,,0.00383369528946631,0.193004315153406,0.0200199218060824,0.0416182228972268,0.0257769230769438,0.17381122647087302,0.0433161383757078,0.0372597564500093,0.465890356105841,0.448116604819462,0.0185290774548529,0.0550961476644205,0.11075562776881098,0.0553112214199371,0.0728198843638305,,0.0228056423776833,0.058995146572526,0.0904115990590223,0.0279590183748475,0.0371870626953034,0.0366982833170084,0.063746328629967,0.0425688210911429,0.0284877698399132,0.0134650329045909,0.0583377535959732,0.0366743258318813,0.278176744560234,0.0178185333186526,0.056101900222437,0.0852610808453361,0.0205767432321506,
LAPATINIB,0.241821257716369,0.0339628959990615,0.00965212221043688,0.0444199084999458,0.0240542856130125,0.311998488304407,0.268840110808879,0.0313115157929246,0.145434668258414,0.10716114631280199,0.081550224745488,0.22921294353487198,0.24408748603567001,0.18502232850908498,0.0810202657902908,0.172530804862603,0.10386055312043499,0.0733664053414054,0.0442889401083242,0.250803985885018,0.24489239604654897,0.11951738650857902,,0.189872147462133,,0.30576275766947697,0.00541985483910623,0.0296290862698949,0.0888326372901229,0.16184741183975102,0.041755247138579005,0.0256753089798467,0.29896877551315604,0.162894985669313,0.0138292915526188,,0.125614043758636,0.149441696335565,0.18120795407344098,0.0536124468649501,0.0546099981116864
METHOTREXATE,0.11556315530679401,0.338161673013765,0.507596880400093,0.0664742777273326,0.424640912180674,0.604770177981072,0.7546674827641792,0.5917142144079561,0.39036881364770293,,0.244330941424913,0.36024080210296794,0.0143600711087873,0.47650686291054906,0.0,0.771163477088293,0.0236444002225945,0.14929993724292903,0.310664491805787,0.400286809963157,0.527653550795086,0.550199022876659,0.424451712740329,0.6717093273271851,0.544821784209062,,0.062927621640182,0.16691571831008897,0.6621091169759821,0.534118516942368,0.585967101731246,0.0449752032319238,0.0773163658503708,0.599365178425788,0.75563062177337,0.0858233135423669,0.108560352566546,0.7486494757428621,0.515974620218636,,0.264040478000231
NAVITOCLAX,0.0110121100735642,0.10245209811027901,0.266696518994863,0.0352480980326809,0.0,0.0423529842316596,0.23272851886184198,0.000109519272384007,0.470647446739885,0.0756356695200487,0.0745050376886169,0.13977150388530402,0.22887442212666298,0.0,0.0145695966038536,0.0475621742725093,0.469041573953683,0.063526573509967,0.133533572722719,0.0964941792841985,0.0155857587777446,0.28705344218323703,0.25377652866776196,,0.109871331900637,0.48114929524234296,0.268092519911407,0.0773774596657028,0.00238806366398581,0.241023155244186,0.0279436760141669,0.0521838074935602,0.264486855653686,0.25654896213223605,0.213342143410483,0.0313923602975271,0.0319554813564421,0.0234473299349315,0.0636045949916813,0.0753835662780205,0.0
NILOTINIB,0.0013521128946136802,0.0,,,0.0213384709356277,0.148370101166512,0.206340492904639,0.0255666666666645,0.0437681849233273,0.0670171592844148,0.0225533333333237,0.00015469094589426498,0.0427588039078428,0.00826284412210587,0.0,0.711124902831279,0.48711048211877706,0.0820752692594121,0.0325500076840382,0.0650523454069987,0.0044567753812097,0.223618462596298,0.17733076923076802,0.10802666666665402,0.0169466666666716,0.0,6.343209402182029e-07,0.0185466666666722,0.0102733333333324,0.216982688646148,0.007633716719823379,0.0736872992173294,0.00844666666664928,0.0305745282589985,0.0638914910051309,,0.0389066666666632,0.04532093609455099,0.022966666666675,0.220266834911737,0.0648666666666836
OLAPARIB,0.0307318307230644,0.0930920707602764,0.0049824728620884206,0.202273497732363,0.14994540461703199,0.151400970227172,0.256574832457717,0.0433532901010049,0.0773547159878584,0.0231198811824038,0.0432444942385529,0.0964769615671273,0.0778681034172037,0.0803001481933416,0.0627797131634473,0.0548585467431734,0.0252174113525101,0.0164322915055887,0.040176105878345005,0.0938435950200912,0.169247048652866,0.104734143634737,0.10554862035506699,0.35284115886869394,0.0132744684149354,0.244374687651035,0.20716163197638102,0.0738200576879954,0.0115306044123115,0.0867096650989889,0.045137599119949,0.0174917382979318,0.0431405837348907,0.0900323731349773,0.0817851698264813,0.0949206530751903,0.0193041611873187,0.14919952383689,0.0979483624591991,0.13318313519631803,0.0149502973457323
PACLITAXEL,0.470912811127284,0.5,0.32662073584271994,0.6751065430135079,0.35394695040468,0.644133333333331,0.8164412422013501,0.19390358748119396,,0.46604285714285404,0.0801431922281797,0.472005290058179,0.55546354328513,0.429830887058729,0.3658614291811939,0.828725657280343,0.7101175396795509,0.29302316775338694,0.339079999999998,0.39261868095006397,0.7286000000000021,0.76420559112225,0.440942857142856,0.9065220062236141,0.7027259999999971,0.8030000000000059,0.860949931460614,0.0326533333333126,0.224266666666659,0.37894656212149297,0.5662010173996229,0.33632666666667405,0.253633333333341,0.932653846153848,0.956934932952631,,0.404706720643396,0.98694277229865,0.20729934711874698,0.8443071428571459,0.157693333333328
PANOBINOSTAT,0.6541173063389639,0.498905819310698,0.627394560209462,0.823335220139654,0.671798289684098,0.6318261968185821,0.738495269277974,0.589539266270224,0.66205471412472,0.6513943591481259,0.503329619992356,0.4625109976149171,0.8413628708951459,0.606843750014737,0.510140972769839,0.7860703040706791,0.950648960556011,0.670305014238677,0.591185858592619,0.880555769606338,0.570721502065056,0.7465807143246479,0.46762188203532107,0.837823425162875,0.8280604246021139,0.8038734581544241,0.849867539764531,0.6088448076508989,0.47179260317820604,0.739870483781593,0.619926534843163,0.34177962513826105,0.5730806933957691,0.822526107573467,0.8752213824459051,,0.5401703007003421,0.826251546133876,0.653016838974809,0.7904936832226321,0.36891484579015293
